Week,Day,Concept,Task,Level,Confidence,Completed,Instructions
2,2,HTML,Active learning: Inspecting a simple example,Beginner,9,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://localhost:5500/user/week02/exercises/day02/the_head_metadata_in_html/title-example.html
2,2,HTML,Active learning: Experiment with character encoding,Beginner,9,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://localhost:5500/user/week02/exercises/day02/the_head_metadata_in_html/title-example.html
2,2,HTML,Active learning: The description's use in search engines,Beginner,0-10,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. 
2,2,HTML,Active learning: applying CSS and JavaScript to a page,Beginner,9,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://localhost:5500/user/week02/exercises/day02/the_head_metadata_in_html/meta-example.html
2,2,HTML,Active learning: Giving our content structure,Beginner,0-10,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL
2,2,HTML,Active learning: Marking up an unordered list,Beginner,9,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://localhost:5500/user/week02/exercises/day02/html_text_fundamentals/shopping-list.html
2,2,HTML,Active learning: Marking up an ordered list,Beginner,9,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://localhost:5500/user/week02/exercises/day02/html_text_fundamentals/directions.html
2,2,HTML,Active learning: Marking up our recipe page,Beginner,9,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://localhost:5500/user/week02/exercises/day02/html_text_fundamentals/recipe-page.html
2,2,HTML,Test your skills: HTML text fundamentals (3x Tasks),Beginner,9,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://localhost:5500/user/week02/exercises/day02/html_text_fundamentals/
2,2,HTML,Active learning: creating your own example link,Beginner,0-10,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL
2,2,HTML,Active learning: creating a navigation menu,Beginner,9,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://localhost:5500/user/week02/exercises/day02/Creating_hyperlinks/navigation_menu/
2,2,HTML,Test your skills: Creating hyperlinks (3x Tasks),Beginner,9,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://localhost:5500/user/week02/exercises/day02/Creating_hyperlinks/
